response_content,response_category
"Our office has no responsive records

[cid:e8004050-0280-49cc-916c-9b816e47df9f]

Yamuna (Yam) Menon

General Counsel/Assistant State Comptroller

Office of the State Comptroller

165 Capitol Ave

Hartford, CT 06106

860-702-3312

This email and any of its attachments are for the sole use of the intended recipient(s) and it may contain information that is proprietary, privileged, confidential, or otherwise legally exempt from disclosure. If you have received this email in error, please immediately notify the sender by email at the address shown above and delete all copies of this message. If you are not the intended recipient, please be aware that you are not authorized to open, read, print, retain, copy, or disseminate this message or any part of it. Thank you for your compliance.",denial
"Good morning,

This is Jefferson County Wisconsin not Alabama.
Thanks,

Megan Wegner

Megan Wegner
Administrative Secretary
Jefferson County Sheriff’s Office
411 S. Center Ave
Jefferson, WI 53549
Direct line: 920-674-7329
Fax: 920-674-7126",denial
"December 4, 2024Alex KaneMuckRock NewsDEPT MR 176699263 Huntington AvenueBoston, Massachusetts 02115Dear Mr. Kane:This notice is in response to your November 22, 2024, emailed request forinformation under the Freedom of Information Act (FOIA), MCL 15.231 et seq, thatwas received by the Michigan Department of Education (MDE) on November 25,2024.You have requested the following:Any contracts between the Education Department and the Institute forCurriculum Services, and the content of any professional development materialsor presentations prepared by the Institute Curriculum Services for the EducationDepartment since October 7th, 2022. I also request any email communicationbetween Education Department employees and employees of the Institute forCurriculum Services since October 7th, 2022.The MDE is denying your request.As to the denial, under section 5(5)(b) of the FOIA, MCL 15.235(5)(b), that, after asearch for records, to the best of the MDE’s knowledge, information, and belief, theMDE does not possess records responsive to the information requested and is unableto process this request. The department has no contracts with the Institute forCurriculum Services.As to the denial of the request, under section 10 of the FOIA, MCL 15.240, the MDE isobligated to inform the requester that it may do the following:1) Appeal this decision in writing to the State Superintendent of Public Instruction,608 West Allegan, Pillar G-14, Fourth Floor, John A. Hannah Building, Lansing,Michigan 48933 or MDE-SuperintendentAppeals@michigan.gov. The writing mustspecifically state the word “appeal” and must identify the reason or reasons therequester believes the partial denial should be reversed. The head of the MDE must
p. 2
FOIA KanePage 2December 4, 2024respond to the appeal within 10 business days after its receipt. Under unusualcircumstances, the time for response to the appeal may be extended by 10 businessdays.2) Commence an action in the Court of Claims within 180 days after the date of thefinal determination to partially deny the request. If the requester prevails in such anaction, the court is to award reasonable attorney fees, costs, and disbursements, andpossible damages.The MDE’s FOIA Procedures and Guidelines can be accessed at,https://www.michigan.gov/mde/0,4615,7-140--357866--,00.htmlSincerely,David HeadFOIA Coordinato",denial
"Good afternoon.

Kansas State Department of Education staff conducted a search of all KSDE email accounts for the use of the word “bible” since January 1, 2022. That search found 12,034 emails that include the word “bible”. The Ten Commandments appears over 700 times. The agency does not have the resources or ability to search through all of those emails to determine if they are responsive to your request or if they were emails talking about something completely unrelated therefore your request is denied as authorized by K.S.A. 45-218(e) because finding said records places an unreasonable burden on the agency.

I have confirmed with agency leadership that no discussions have taken place within the last two years, nor is there any movement toward purchasing or placing any religious materials such as the Holy Bible or the Ten Commandments in Kansas public schools by either the Kansas State Department of Education or the State Board of Education.

[Kansas State Department of Education logo]<https://www.ksde.org/>
R. Scott Gordon
General Counsel
Office of General Counsel
785-296-3204
sgordon@ksde.org
www.ksde.org<http://www.ksde.org/>

Kansas leads the world in the success of each student.
This message, the information contained therein and any attachments thereto may be protected by attorney client privilege and/or work product doctrines. It shall not be disclosed, forwarded, copied, shared or in any other manner provided to anyone except those to whom it is addressed. Any other disclosure is inadvertent, unintentional or unintended, and does not constitute any waiver of any applicable privilege or doctrine. Any unauthorized use of this message or documents attached hereto or the information contained herein is prohibited. If you are an unintended recipient of this message, please delete it immediately without copying, forwarding or in any manner sharing, and notify the sender of the receipt.
Be advised that (1) e-mail communication is not a secure method of communication; (2) any e-mail that is sent between you and this office may be copied and held by various computers it passes through as it is transmitted; (3) persons not participating in our communications may intercept our communications by improperly accessing your computer or this office’s computer or even some computer unconnected to either of us that this e-mail passes through.

The Kansas State Department of Education does not discriminate on the basis of race, color, national origin, sex, disability or age in its programs and activities and provides equal access to the Boy Scouts and other designated youth groups. The following person has been designated to handle inquiries regarding the nondiscrimination policies: KSDE General Counsel, Office of General Counsel, KSDE, Landon State Office Building, 900 S.W. Jackson, Suite 102, Topeka, KS 66612, (785) 296-3201.",denial
"Dear P. S. Sai,
This is in final response to your 23-Oct-24 Freedom of Information Act (FOIA) request for Dear Air Force,

""On behalf of myself and Fiat Fiendum, I hereby request the following records: 1. The one email in your chief FOIA officer's email inbox or equivalent which was received nearest and before October 19, 2024, midnight Eastern time, regardless of subject matter. 2. The one email in your chief FOIA officer's email spam folder or equivalent which was received nearest and before October 19, 2024, midnight Eastern time, regardless of subject matter. 3. The one email in your chief FOIA officer's sent email folder or equivalent which was sent nearest and before October 19, 2024, midnight Eastern time, regardless of subject matter. 4. The total full-time equivalent count of people who work for your FOIA office as of October 19, 2024. This request is expressly limited to Air Force's own FOIA office.

Your request as submitted does not sufficiently describe a Department of the Air Force (DAF) record. The request is not “perfected” because it does not ask for any DAF subject matter agency record dealing with the Air Force business. Under 5 U.S. Code § 552, the FOIA specifies requirements for an access request, specifically that a request for agency records must ""reasonably describe"" the records sought. See 5 U.S.C. § 552 (a)(3)(A). A description of a requested record is sufficient if it enables a professional agency employee familiar with the subject area to locate the record with a “reasonable amount of effort.” See Truitt v. Dep’t of State, 897 F.2d 540, 544-45 (D.C. Cir. 1990); see also Ferri v. Dep’t of Just., 573 F. Supp. 852, 859 (W.D. Pa. 1983).

As such, after careful review of your request, we are administratively closing it as it does not meet the requirements under the FOIA. Please note that the FOIA does not require agencies to answer questions or interrogatories; analyze and/or interpret documents for a requester; create records; conduct research; initiate investigations; or provide statutes, regulations, publications, or other documents that are otherwise made available to the public.

Should you decide to appeal this decision, you must write to the Secretary of the Air Force, Through: SAF/AAII (FOIA), 1000 Air Force Pentagon, Washington, DC 20330-1000 within 90 calendar days from the date of this letter. Include in the appeal your reasons for reconsideration and attach a copy of this letter.

If you are dissatisfied with the servicing of this request or this final response from this office, you may contact the Air Force FOIA Public Liaison Officer, Mr. Robert Bivins, concerning this response at AF FOIA Public Liaison Office (SAF/CIO A6XA), 1800 Air Force Pentagon, Washington, DC 20330-1800, usaf.pentagon.saf-cio-a6.mbx.af-foia@mail.mil or (703) 614-8500. Additionally, you may contact the Office of Government Information Services (OGIS) at the National Archives and Records Administration to inquire about the FOIA mediation services they offer. The contact information for OGIS is as follows: Office of Government Information Services, National Archives and Records Administration, 8601 Adelphi Road-OGIS, College Park, Maryland 20740-6001, e-mail at ogis@nara.gov; telephone at 202-741-5770; toll free at 1-877-684-6448; or facsimile at 202-741-5769.

Please contact this office at the address above, via email at SAF.AA.HAF.FOIA.Workflow@us.af.mil, should you have any questions and refer to case AF 2025-00548-F. Department of Defense Regulation 5400.7/Air Force Manual 33-302 indicates fees may be assessed for processing this request; however, there are no applicable fees in this instance.

Sincerely,
HAF FOIA TEAM
SAF/AAII (FOIA)
Office of the Secretary of the Air Force
1000 Air Force Pentagon
Washington, DC 20330-1000""",denial
"Dear Sai,
This is in final response to your 24-Oct-24 Freedom of Information Act (FOIA) request for …1. The one email in your chief FOIA officer's email inbox or equivalent which was received nearest and before October 19, 2024, midnight Eastern time, regardless of subject matter. 2. The one email in your chief FOIA officer's email spam folder or equivalent which was received nearest and before October 19, 2024, midnight Eastern time, regardless of subject matter. 3. The one email in your chief FOIA officer's sent email folder or equivalent which was sent nearest and before October 19, 2024, midnight Eastern time, regardless of subject matter. 4. The total full-time equivalent count of people who work for your FOIA office as of October 19, 2024. This request is expressly limited to Space Force's own FOIA office.
Your request as submitted does not sufficiently describe a Department of the Air Force (DAF) record, specifically a United States Space Force record.  The request is not “perfected” because it does not ask for any DAF subject matter agency record dealing with the United Space Force business.  Under 5 U.S. Code § 552, the FOIA specifies requirements for an access request, specifically that a request for agency records must ""reasonably describe"" the records sought. See 5 U.S.C. § 552 (a)(3)(A).  A description of a requested record is sufficient if it enables a professional agency employee familiar with the subject area to locate the record with a “reasonable amount of effort.”  See Truitt v. Dep’t of State, 897 F.2d 540, 544-45 (D.C. Cir. 1990); see also Ferri v. Dep’t of Just., 573 F. Supp. 852, 859 (W.D. Pa. 1983).
As such, after careful review of your request, we are administratively closing it as it does not meet the requirements under the FOIA.  Please note that the FOIA does not require agencies to answer questions or interrogatories; analyze and/or interpret documents for a requester; create records; conduct research; initiate investigations; or provide statutes, regulations, publications, or other documents that are otherwise made available to the public.
Should you decide to appeal this decision, you must write to the Secretary of the Air Force, Through: SAF/AAII (FOIA), 1000 Air Force Pentagon, Washington, DC 20330-1000 within 90 calendar days from the date of this letter. Include in the appeal your reasons for reconsideration and attach a copy of this letter.
If you are dissatisfied with the servicing of this request or this final response from this office, you may contact the Air Force FOIA Public Liaison Officer, Mr. Robert Bivins, concerning this response at AF FOIA Public Liaison Office (SAF/CIO A6XA), 1800 Air Force Pentagon, Washington, DC 20330-1800, usaf.pentagon.saf-cio-a6.mbx.af-foia@mail.mil or (703) 614-8500. Additionally, you may contact the Office of Government Information Services (OGIS) at the National Archives and Records Administration to inquire about the FOIA mediation services they offer. The contact information for OGIS is as follows: Office of Government Information Services, National Archives and Records Administration, 8601 Adelphi Road-OGIS, College Park, Maryland 20740-6001, e-mail at ogis@nara.gov; telephone at 202-741-5770; toll free at 1-877-684-6448; or facsimile at 202-741-5769.
Please contact this office at the address above, via email at SAF.AA.HAF.FOIA.Workflow@us.af.mil, should you have any questions and refer to case AF 2025-00613-F.  Department of Defense Regulation 5400.7/Air Force Manual 33-302 indicates fees may be assessed for processing this request; however, there are no applicable fees in this instance.
Sincerely,
HAF FOIA TEAM
SAF/AAII (FOIA)
Office of the Secretary of the Air Force
1000 Air Force Pentagon
Washington, DC 20330-1000",denial
"Virginia Military Institute

************************************************************************

A message was sent to you regarding record request #24-58:

Your request is very broad and involves several different departments on post. It will take a substantial amount of time to access, search for, and compile responsive records. State law allows for agencies to ""make reasonable charges not to exceed its actual cost."" The Virginia FOIA Advisory Council, in their ""FOIA Charges Guide,"" says staff costs ""should be based on the hourly rate of salary for administrative or support staff."" Actual costs of fulfilling a FOIA request are always more than what a requester pays since VMI does not charge for all the expenses allowable by law.

What was provided to you was an estimate of staff time involved in accessing, searching, reviewing, and redacting (if necessary) any responsive records. Your final invoice may be less (or more) based on the actual time it takes the staff involved to fulfill your request.

Whether responsive records exist in electronic format is irrelevant. Each record is reviewed to determine if the record is responsive, are not exempt from disclosure, and may be disclosed without violating other provisions of law. This is where most of the FOIA officer's time is spent. Given the breadth of your request, the volume of responsive records will determine the amount of time the FOIA officer spends reviewing records. (Secondary legal review of responsive records is not an allowable charge.)

************************************************************************
<em>Questions about your request?</em> Reply to this email or sign in to contact staff at Virginia Military Institute.<br><em>Technical support:</em> See our <a href=""https://www.nextrequest.civicplus.help/hc/en-us/categories/17720084172567-Requesters"">help page</a>",denial
"Dear requestor,

Our office denies the request. We received a copy of Kent Hoover’s Tennessee driver license. But having reviewed the correspondence concerning the request, it appears that this request is not coming from Mr. Hoover. And our office has not received proof of citizenship from the requestor. I have previously communicated directly with Mr. Kent Hoover, and he may of course choose to make a public records request to our office consistent with the Tennessee Public Records Act and the Tennessee Department of State Public Records Policy.

Given this basis for denial, our office has not addressed any other issued concerning this request.

Michael Harmon
General Counsel
Office of Tennessee Secretary of State Tre Hargett
600 Dr. Martin Luther King Jr. Blvd.
1st Floor, State Capitol
Nashville, TN 37243
Capitol Office: 615-741-2819

This electronic mail may be subject to the Tennessee Public Records Act, Tenn. Code Ann. §10-7-503 et seq. Any reply to this email may also be subject to this act.

Our Core Values: Exceptionalism – Collaboration – Integrity – Stewardship
The mission of the Office of the Secretary of State is to exceed the expectations of our customers, the taxpayers, by operating at the highest levels of accuracy, cost-effectiveness, and accountability in a customer-centered environment.

Website: https://sos.tn.gov/

Social Media Links:
www.facebook.com/TennesseeSecretaryofState<http://www.facebook.com/TennesseeSecretaryofState>
www.facebook.com/TNStateLibraryArchives/timeline<http://www.facebook.com/TNStateLibraryArchives/timeline>

The information transmitted is intended solely for the individual or entity to which it is addressed and may contain confidential and/or privileged material. Any review, retransmission, dissemination, or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. If you have received this email in error, please contact the sender and delete the material from any computer.",denial
"Jason Koebler,

We found no responsive documents with our agency for Massive Blue AI company. None of our departments use this system. For email correspondence you will need to contact the county as they handle those requests.

Thank you,

[cid:image003.png@01DB455E.20845F30]

Alyssa Adams, CJIS
Records and Warrants
Collin County Sheriff’s Office
4300 Community Ave.
McKinney, TX 75071",denial
"
Search
Search
p. 1
U.S. Department of JusticeFederal Bureau of InvestigationWashington, D.C. 20535December 2, 2024MUCKROCK NEWSDEPT MR176882263 HUNTINGTON AVENUEBOSTON, MA 02115Request No.: 1653023-000Subject: CARLOS, KENNODear Robert Delaware:This acknowledges receipt of your Freedom of Information Act (FOIA) request to the FBI. The FOIPARequest Number listed above has been assigned to your request. Below you will find information relevant to yourrequest. Please read each paragraph carefully.You have requested records on one or more third party individuals. Please be advised the FBI will neitherconfirm nor deny the existence of such records pursuant to FOIA exemptions (b)(6) and (b)(7)(C), 5 U.S.C. §§ 552(b)(6) and (b)(7)(C). The mere acknowledgement of the existence of FBI records on third party individuals couldreasonably be expected to constitute an unwarranted invasion of personal privacy. This is our standard response tosuch requests and should not be taken to mean that records do, or do not, exist. As a result, your request has beenclosed. Please visit www.fbi.gov/foia and select “Requesting FBI Records” for more information about makingrequests for records on third party individuals (living or deceased).If you submitted your request through the FBI’s eFOIPA portal and you are receiving correspondencethrough standard mail, it was determined your request did not meet the eFOIPA terms of service.Should you have questions regarding your request, please feel free to contact foipaquestions@fbi.gov.Please reference the FOIPA Request number listed above in all correspondence concerning your request.If you are not satisfied with the Federal Bureau of Investigation’s determination in response to this request,you may administratively appeal by writing to the Director, Office of Information Policy (OIP), United StatesDepartment of Justice, 441 G Street, NW, 6th Floor, Washington, D.C. 20530, or you may submit an appeal throughOIP's FOIA STAR portal by creating an account following the instructions on OIP’s website:https://www.justice.gov/oip/submit-and-track-request-or-appeal. Your appeal must be postmarked or electronicallytransmitted within ninety (90) days of the date of my response to your request. If you submit your appeal by mail,both the letter and the envelope should be clearly marked ""Freedom of Information Act Appeal."" If possible, pleaseprovide a copy of your original request and this response letter with your appeal.You may seek dispute resolution services by emailing the FBI’s FOIA Public Liaison atfoipaquestions@fbi.gov. The subject heading should clearly state “Dispute Resolution Services.” Please also citethe FOIPA Request Number assigned to your request so it may be easily identified. You may also contact the Officeof Government Information Services (OGIS). The contact information for OGIS is as follows: Office of GovernmentInformation Services, National Archives and Records Administration, 8601 Adelphi Road-OGIS, College Park,Maryland 20740-6001, e-mail at ogis@nara.gov; telephone at 202-741-5770; toll free at 1-877-684-6448; or facsimileat 202-741-5769.Enclosed for your information is a copy of the Explanation of Exemptions.Sincerely,Michael G. SeidelSection ChiefRecord/Information Dissemination SectionInformation Management DivisionEnclosure
p. 2
EXPLANATION OF EXEMPTIONSSUBSECTIONS OF TITLE 5, UNITED STATES CODE, SECTION 552(b)(1) (A) specifically authorized under criteria established by an Executive order to be kept secret in the interest of national defense or foreignpolicy and (B) are in fact properly classified to such Executive order;(b)(2) related solely to the internal personnel rules and practices of an agency;(b)(3) specifically exempted from disclosure by statute (other than section 552b of this title), provided that such statute (A) requires that thematters be withheld from the public in such a manner as to leave no discretion on issue, or (B) establishes particular criteria for withholdingor refers to particular types of matters to be withheld;(b)(4) trade secrets and commercial or financial information obtained from a person and privileged or confidential;(b)(5) inter-agency or intra-agency memorandums or letters which would not be available by law to a party other than an agency in litigation withthe agency;(b)(6) personnel and medical files and similar files the disclosure of which would constitute a clearly unwarranted invasion of personal privacy;(b)(7) records or information compiled for law enforcement purposes, but only to the extent that the production of such law enforcement recordsor information ( A ) could reasonably be expected to interfere with enforcement proceedings, ( B ) would deprive a person of a right to afair trial or an impartial adjudication, ( C ) could reasonably be expected to constitute an unwarranted invasion of personal privacy, ( D )could reasonably be expected to disclose the identity of confidential source, including a State, local, or foreign agency or authority or anyprivate institution which furnished information on a confidential basis, and, in the case of record or information compiled by a criminal lawenforcement authority in the course of a criminal investigation, or by an agency conducting a lawful national security intelligenceinvestigation, information furnished by a confidential source, ( E ) would disclose techniques and procedures for law enforcementinvestigations or prosecutions, or would disclose guidelines for law enforcement investigations or prosecutions if such disclosure couldreasonably be expected to risk circumvention of the law, or ( F ) could reasonably be expected to endanger the life or physical safety of anyindividual;(b)(8) contained in or related to examination, operating, or condition reports prepared by, on behalf of, or for the use of an agency responsible forthe regulation or supervision of financial institutions; or(b)(9) geological and geophysical information and data, including maps, concerning wells.SUBSECTIONS OF TITLE 5, UNITED STATES CODE, SECTION 552a(d)(5) information compiled in reasonable anticipation of a civil action proceeding;(j)(2) material reporting investigative efforts pertaining to the enforcement of criminal law including efforts to prevent, control, or reduce crimeor apprehend criminals;(k)(1) information which is currently and properly classified pursuant to an Executive order in the interest of the national defense or foreignpolicy, for example, information involving intelligence sources or methods;(k)(2) investigatory material compiled for law enforcement purposes, other than criminal, which did not result in loss of a right, benefit orprivilege under Federal programs, or which would identify a source who furnished information pursuant to a promise that his/her identitywould be held in confidence;(k)(3) material maintained in connection with providing protective services to the President of the United States or any other individual pursuantto the authority of Title 18, United States Code, Section 3056;(k)(4) required by statute to be maintained and used solely as statistical records;(k)(5) investigatory material compiled solely for the purpose of determining suitability, eligibility, or qualifications for Federal civilianemployment or for access to classified information, the disclosure of which would reveal the identity of the person who furnishedinformation pursuant to a promise that his/her identity would be held in confidence;(k)(6) testing or examination material used to determine individual qualifications for appointment or promotion in Federal Government servicethe release of which would compromise the testing or examination process;(k)(7) material used to determine potential for promotion in the armed services, the disclosure of which would reveal the identity of the personwho furnished the material pursuant to a promise that his/her identity would be held in confidence.FBI/DOJ",denial
